12:00 + Que horas são?	12:00	Que horas são?	É meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:30 + Que horas são?	12:30	Que horas são?	É meio-dia e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
00:00 + Que horas são?	00:00	Que horas são?	É meia-noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:00 PM + Que horas são?	12:00 PM	Que horas são?	É meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:30 PM + Que horas são?	12:30 PM	Que horas são?	É meio-dia e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:00 AM + Que horas são?	12:00 AM	Que horas são?	É meia-noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:30 AM + Que horas são?	12:30 AM	Que horas são?	É meia-noite e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
01:00 + Que horas são?	01:00	Que horas são?	É uma hora			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:00 + Que horas são?	02:00	Que horas são?	São duas horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
01:00 AM + Que horas são?	01:00 AM	Que horas são?	É uma hora			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:00 AM + Que horas são?	02:00 AM	Que horas são?	São duas horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:00 PM + Que horas são?	02:00 PM	Que horas são?	São duas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
05:15 PM + Que horas são?	05:15 PM	Que horas são?	São cinco e um quarto			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
10:20 AM + Que horas são?	10:20 AM	Que horas são?	São dez e vinte			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
08:30 AM + Que horas são?	08:30 AM	Que horas são?	São oito e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
04:45 PM + Que horas são?	04:45 PM	Que horas são?	São quatro e quarenta e cinco / É um quarto para as cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
11:40 AM + Que horas são?	11:40 AM	Que horas são?	São onze e quarenta / São vinte para o meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
07:50 PM + Que horas são?	07:50 PM	Que horas são?	São vinte para as oito			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
03:05 PM + Que horas são?	03:05 PM	Que horas são?	São três e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
09:10 AM + Que horas são?	09:10 AM	Que horas são?	São nove e dez			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
06:55 PM + Que horas são?	06:55 PM	Que horas são?	São sete horas / São cinco para as sete			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:15 PM + Que horas são?	02:15 PM	Que horas são?	São duas e quinze / São quinze para as três			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
08:25 AM + Que horas são?	08:25 AM	Que horas são?	São oito e vinte e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:45 PM + Que horas são?	12:45 PM	Que horas são?	São meio-dia e quarenta e cinco / É um quarto para a uma			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
06:30 PM + Que horas são?	06:30 PM	Que horas são?	São seis e trinta / São meia-noite e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
11:35 AM + Que horas são?	11:35 AM	Que horas são?	São onze e trinta e cinco / São vinte e cinco para o meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
10:50 PM + Que horas são?	10:50 PM	Que horas são?	São dez para as onze			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
03:55 AM + Que horas são?	03:55 AM	Que horas são?	São três e cinquenta e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
07:10 AM + Que horas são?	07:10 AM	Que horas são?	São sete e dez			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
04:20 PM + Que horas são?	04:20 PM	Que horas são?	São quatro e vinte			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
04:00 PM + Que horas são?	04:00 PM	Que horas são?	São quatro da tarde / São dezasseis horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
09:30 AM + Que horas são?	09:30 AM	Que horas são?	São nove e meia da manhã / São nove horas e trinta minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:45 PM + Que horas são?	02:45 PM	Que horas são?	São três e quarenta e cinco da tarde / São quinze para as três			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
08:00 AM + Que horas são?	08:00 AM	Que horas são?	São oito da manhã / São oito horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
10:15 PM + Que horas são?	10:15 PM	Que horas são?	São dez e um quarto da noite / São vinte e duas horas e quinze minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
03:45 AM + Que horas são?	03:45 AM	Que horas são?	São quatro menos quinze da manhã / São três horas e quarenta e cinco minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
05:30 PM + Que horas são?	05:30 PM	Que horas são?	São cinco e um quarto da tarde / São dezassete horas e trinta minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
10:10 AM + Que horas são?	10:10 AM	Que horas são?	São dez e dez da manhã / São dez horas e dez minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
08:00 PM + Que horas são?	08:00 PM	Que horas são?	São oito da noite / São vinte horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
06:45 AM + Que horas são?	06:45 AM	Que horas são?	São sete menos um quarto da manhã / São seis horas e quarenta e cinco minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
01:20 PM + Que horas são?	01:20 PM	Que horas são?	São uma e vinte			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
11:59 PM + Que horas são?	11:59 PM	Que horas são?	É um minuto para a meia-noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
06:45 PM + Que horas são?	06:45 PM	Que horas são?	É um quarto para as sete da tarde / São seis e quarenta e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
07:30 AM + Que horas são?	07:30 AM	Que horas são?	São sete e meia / São sete horas e trinta minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
09:05 PM + Que horas são?	09:05 PM	Que horas são?	São nove e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
11:55 AM + Que horas são?	11:55 AM	Que horas são?	São onze e cinquenta e cinco / São cinco para o meio dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:30 AM + Que horas são?	12:30 AM	Que horas são?	São meia-noite e meia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
07:40 PM + Que horas são?	07:40 PM	Que horas são?	São sete e quarenta da noite / São vinte para as oito			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
04:15 AM + Que horas são?	04:15 AM	Que horas são?	São quatro e um quarto da manhã			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
02:00 PM + Que horas são?	02:00 PM	Que horas são?	São duas horas			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
05:15 PM + Que horas são?	05:15 PM	Que horas são?	São cinco e um quarto da tarde			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
08:40 PM + Que horas são?	08:40 PM	Que horas são?	São oito e quarenta da noite / São vinte para as nove da noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
11:50 AM + Que horas são?	11:50 AM	Que horas são?	São onze e cinquenta da manhã / São dez para o meio-dia			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
10:22 PM + Que horas são?	10:22 PM	Que horas são?	São dez e vinte e dois da noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
01:15 PM + Que horas são?	01:15 PM	Que horas são?	É uma e quinze da tarde / É uma e um quarto			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
04:25 PM + Que horas são?	04:25 PM	Que horas são?	São quatro e vinte e cinco da tarde			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
07:05 AM + Que horas são?	07:05 AM	Que horas são?	São sete e cinco da manhã / São sete e cinco			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
06:25 PM + Que horas são?	06:25 PM	Que horas são?	São seis e vinte e cinco da tarde			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
12:55 PM + Que horas são?	12:55 PM	Que horas são?	São cinco para a uma / São doze e cinquenta e cinco da tarde / São doze horas e cinquenta e cinco minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
03:30 PM + Que horas são?	03:30 PM	Que horas são?	São três e meia da tarde			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
10:45 AM + Que horas são?	10:45 AM	Que horas são?	É um quarto para as onze / São dez horas e quarenta e cinco minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
09:00 PM + Que horas são?	09:00 PM	Que horas são?	São nove da noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
07:20 AM + Que horas são?	07:20 AM	Que horas são?	São sete e vinte da manhã / São sete horas e vinte minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
11:50 PM + Que horas são?	11:50 PM	Que horas são?	São onze e cinquenta da noite			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?
06:15 AM + Que horas são?	06:15 AM	Que horas são?	São seis e um quarto da manhã / São seis horas e quinze minutos			Português::Curso::A1 Português::Vocabulario::Calendario::Horas::Que_horas_sao?