cozinhar	<img src="_38_Cooking_Breakfast_Fried_Egg_Orange_Juice.JPG">	cozinhar	cozinhar	/kuziˈɲaɾ/	/koziˈɲaʁ/	v			cook	/ˈkʰʊk/	/ˈkʰʊk/	v			cocinar	/koθiˈnaɾ/	/kosiˈnaɾ/	v			cuisiner		/kɥizine/		v		kochen		/ˈkɔxn̩/				cuina						cucinare	/kutʃiˈnare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
penteio o meu cabelo	<img src="_pentear_o_cabelo_peinar_comb.JPG">	penteio o meu cabelo	penteio o meu cabelo	/pẽˈtɐju u ˈmew kɐˈbɛlu/	/pẽˈteju u ˈmew kaˈbɛlu/	exp			comb my hair	/ˈkʰoʊm ˈmaɪ ˈhɛr/	/ˈkʰəʊm maɪ ˈheə/				me peino	/ˈpejno mi kaˈβeʎo, me ˈpejno/	/ˈpejno mi kaˈβeʎo, me ˈpejno/	v			je me coiffe		/ʒə mə kwaf/		v		ich kämme mich		/ˈɪç ˈkɛmə ˈmɪç/				em pentine els cabells						pettino i miei capelli	/petˈtino i ˈmjɛi̯ kaˈpelli/											Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Cuidado_Pessoal Portugues::Vocabulario::Pessoas::Cuidado_Pessoal::Cabelo Vocabulary::Activities
table football	<img src="_table_football.JPG">	matraquilhos	os matraquilhos	/uʒ mɐtɾɐˈkiʎuʃ/	/uʒ matɾaˈkiʎus/	smp			table football	/ˈtʰeɪbəl ˈfʊtˌbɔːl/	/ˈtʰeɪbᵊl ˈfʊtbɔːl/	n			futbolín, futbolito	/futβoˈlin, futβoˈlito/	/futβoˈlin, futβoˈlito/	sm			baby-foot		/babifut/		nm		Tischfußball		/ˈtɪʃ ˈfuːsbal/				futbolí						football da tavolo	/football da ˈttavolo/											English::Curso::1C1 English::Curso::1C1::U01 English::Vocabulary Vocabulary::Activities::Games
acampar		acampar	acampar	/ɐkɐ̃ˈpaɾ/	/akɐ̃ˈpaʁ/	v			camp	/ˈkʰæmp/	/ˈkʰæmp/	v			acampar	/akamˈpaɾ/	/akamˈpaɾ/	v			camper		/kɑ̃pe/		v		zelten		/ˈtsɛltn̩/				acampar						campeggiare	/kampedˈdʒare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
andar de bicicleta		andar de bicicleta	andar de bicicleta	/ɐ̃ˈdaɾ dɨ bisiˈklɛtɐ/	/ɐ̃ˈdaʁ dʒi bisiˈklɛtɐ/	v			to ride a bike	/tə ˈraɪd ə ˈbaɪk/	/tə ˈraɪd ə ˈbaɪk/	v			andar en bicicleta	/anˈdaɾ ɛm biθiˈklɛta/	/anˈdaɾ ɛm bisiˈklɛta/	v			faire du vélo		/fɛʁ dy velo/		v		Fahrrad fahren		/ˈfaːɐ̯raːt ˈfaːrən/				anar en bicicleta						andare in bicicletta	/anˈdare im bitʃiˈkletta/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
arranjar-se		arranjar-se	arranjar-se	/ɐʁɐ̃ˈʒaɾsɨ/	/aʁɐ̃ˈʒaʁsi/	v pron	vestir-se bem		get ready	/ˈɡɛt ˈrɛdi/	/ˈɡet ˈredi/	v			arreglarse	/areˈɣlaɾse/	/areˈɣlaɾse/	v			se préparer		/sə pʁepaʁe/		v		sich bereit machen		/ˈzɪç bəˈraɪ̯t ˈmaxn̩/				arreglar-se						prepararsi	/prepaˈrarsi/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
assistir a bailados		assistir a bailados	assistir a bailados	/ɐsiˈʃtiɾ ɐ bɐjˈladuʃ/	/asisˈtʃiʁ a bajˈladus/	v			attend ballets	/əˈtʰɛnd bæˈleɪz/	/əˈtʰend ˈbæleɪz/	v			asistir a ballets	/asisˈtiɾ a ˈβalɛts/	/asisˈtiɾ a ˈβalɛts/	v			assister à des ballets		/asiste a de balɛ/		v		Ballette besuchen		/baˈlɛtə bəˈzuːxn̩/				assistir a ballets						assistere a balletti	/asˈsistere a bbalˈletti/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
assistir a concertos		assistir a concertos	assistir a concertos	/ɐsiˈʃtiɾ ɐ kõˈsɛɾtuʃ/	/asisˈtʃiʁ a kõˈsɛʁtus/	v			attend concerts	/əˈtʰɛnd ˈkʰɑːnsə˞ts/	/əˈtʰend ˈkʰɒnsɜːts/	v			asistir a conciertos	/asisˈtiɾ a konˈθjɛɾtos/	/asisˈtiɾ a konˈsjɛɾtos/	v			assister à des concerts		/asiste a de kɔ̃sɛːʁ/		v		Konzerte besuchen		/kɔnˈtsɛrtə bəˈzuːxn̩/				assistir a concerts						assistere a concerti	/asˈsistere a kkonˈtʃɛrti/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
cantar		cantar	cantar	/kɐ̃ˈtaɾ/	/kɐ̃ˈtaʁ/	v			to sing	/tə ˈsɪŋ/	/tə ˈsɪŋ/	v			cantar	/kanˈtaɾ/	/kanˈtaɾ/	v			chanter		/ʃɑ̃te/		v		singen		/ˈzɪŋən/				cantar						cantare	/kanˈtare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
jantar com amigos		jantar com amigos	jantar com amigos	/ʒɐ̃ˈtaɾ ˈkõ ɐˈmiɡuʃ/	/ʒɐ̃ˈtaʁ ˈkõ ɐˈmiɡus/	v			dine with friends	/ˈdaɪn ˈwɪθ ˈfrɛndz/	/ˈdaɪn wɪð ˈfrendz/	v			cenar con amigos	/θeˈnaɾ kon aˈmiɣos/	/seˈnaɾ kon aˈmiɣos/	v			dîner avec des amis		/dine avɛk de‿ zami/		v		mit Freunden essen		/ˈmɪt ˈfrɔɪ̯ndən ˈɛsn̩/				sopar amb amics						cenare con amici	/tʃeˈnare ˈkon aˈmitʃi/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
correr		correr	correr	/kuˈʁeɾ/	/koˈʁeʁ/	v			to run	/tə ˈrən/	/tə ˈrʌn/	v			correr	/koˈrɛɾ/	/koˈrɛɾ/	v			courir		/kuʁiːʁ/		v		rennen		/ˈrɛnən/				córrer						correre	/ˈkorrere/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
tratar de		tratar de ....	tratar de ....	/tɾɐˈtaɾ dɨ ..../	/tɾaˈtaʁ dʒi ..../	v	Means to care for:    tratar do jardim, tratar meu pai.		take care	/ˈtʰeɪk ˈkʰɛr/	/ˈtʰeɪk ˈkʰeə/	v			cuidar	/kwiˈðaɾ/	/kwiˈðaɾ/	v			traiter		/tʁɛte/		v		behandeln		/bəˈhandl̩n/				tractar						trattare	/tratˈtare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
fazer caminhadas		fazer caminhadas	fazer caminhadas	/fɐˈzeɾ kɐmiˈɲadɐʃ/	/faˈzeʁ kɐmiˈɲadas/	v			to go for walks	/tə ˈɡoʊ fə˞ ˈwɔks/	/tə ˈɡəʊ fə ˈwɔːks/	v			hacer caminatas	/aˈθɛɾ kamiˈnatas/	/aˈsɛɾ kamiˈnatas/	v			faire de la randonnée		/fɛʁ də la ʁɑ̃dɔne/		v		wandern		/ˈvandɐn/				fer caminades						fare escursioni	/ˈfare eskurˈsjoni/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
fazer exercício		fazer exercício	fazer exercício	/fɐˈzeɾ izɨɾˈsisiu/	/faˈzeʁ izeʁˈsisiu/	v			to exercise	/tuː ˈɛksə˞ˌsaɪz/	/tu ˈeksəsaɪz/	v			hacer ejercicio	/aˈθɛɾ exɛɾˈθiθjo/	/aˈsɛɾ exɛɾˈsisjo/	v			faire de l'exercice		/fɛʁ də lɛɡzɛʁsis/		v		trainieren		/trɛˈniːrən/				fer exercici						fare esercizio	/ˈfare ezerˈtʃittsjo/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
fazer trilhas		fazer trilhas	fazer trilhas	/fɐˈzeɾ ˈtɾiʎɐʃ/	/faˈzeʁ ˈtɾiʎas/	v			to hike	/tə ˈhaɪk/	/tə ˈhaɪk/	v			hacer senderismo	/aˈθɛɾ sɛndɛˈɾizmo/	/aˈsɛɾ sɛndɛˈɾizmo/	v			faire de la randonnée		/fɛʁ də la ʁɑ̃dɔne/		v		wandern		/ˈvandɐn/				fer sendes						fare sentieri	/ˈfare senˈtjɛri/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
convidar		convidar	convidar	/kõviˈdaɾ/	/kõviˈdaʁ/	v			invite	/ɪnˈvaɪt/	/ɪnˈvaɪt/	v			invitar	/imbiˈtaɾ/	/imbiˈtaɾ/	v			inviter		/ɛ̃vite/		v		einladen		/ˈaɪ̯nlaːdn̩/				convidar						invitare	/inviˈtare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
ir á praia		ir á praia	ir á praia	/ˈiɾ ˈa ˈpɾajɐ/	/ˈiʁ ˈa ˈpɾajɐ/	v			go to the beach	/ˈɡoʊ tə ðə ˈbitʃ/	/ˈɡəʊ tə ðə ˈbiːtʃ/	v			ir a la playa	/ˈiɾ a la ˈplaʝa/	/ˈiɾ a la ˈplaʝa/	v			aller à la plage		/ale a la plaːʒ/		v		an den Strand gehen		/ˈan ˈdeːn ˈʃtrant ˈɡeːən/				anar a la platja						andare in spiaggia	/anˈdare in ˈspjaddʒa/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
ir ao cinema		ir ao cinema	ir ao cinema	/ˈiɾ ɐu siˈnɛmɐ/	/ˈiʁ au siˈnɛmɐ/	v			to go to the cinema	/tə ˈɡoʊ tə ðə ˈsɪnəmə/	/tə ˈɡəʊ tə ðə ˈsɪnəmə/	v			ir al cine	/ˈiɾ al ˈθine/	/ˈiɾ al ˈsine/	v			aller au cinéma		/ale o sinema/		v		ins Kino gehen		/ˈɪns ˈkiːnoː ˈɡeːən/				anar al cinema						andare al cinema	/anˈdare al ˈtʃinema/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
fazer compras		fazer compras	fazer compras	/fɐˈzeɾ ˈkõpɾɐʃ/	/faˈzeʁ ˈkõpɾas/	v			shop	/ˈʃɑp/	/ˈʃɒp/	v			ir de compras	/ˈiɾ ðe ˈkompɾas/	/ˈiɾ ðe ˈkompɾas/	v			faire des courses		/fɛʁ de kuʁs/		v		einkaufen		/ˈaɪ̯nkaʊ̯fn̩/				compres						fare la spesa	/ˈfare la ˈspeza/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
jogar futebol		jogar futebol	jogar futebol	/ʒuˈɡaɾ futɨˈbɔɫ/	/ʒoˈɡaʁ futeˈbɔw/	v			to play football	/tə ˈpleɪ ˈfʊtˌbɔːl/	/tə ˈpleɪ ˈfʊtbɔːl/	v			jugar al fútbol	/xuˈɣaɾ al ˈfutβol/	/xuˈɣaɾ al ˈfutβol/	v			jouer au football		/ʒwe o futboːl/		v		Fußball spielen		/ˈfuːsbal ˈʃpiːlən/				jugar a futbol						giocare a calcio	/dʒoˈkare a ˈkkaltʃo/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
nadar		nadar	nadar	/nɐˈdaɾ/	/naˈdaʁ/	v			swim	/ˈswɪm/	/ˈswɪm/	v			nadar	/naˈðaɾ/	/naˈðaɾ/	v			nager		/naʒe/		v		schwimmen		/ˈʃvɪmən/				nadar						nuotare	/nwoˈtare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
ouvir música		ouvir música	ouvir música	/oˈviɾ ˈmuzikɐ/	/oˈviʁ ˈmuzikɐ/	v			listen to music	/ˈlɪsn̩ tə ˈmjuːzɪk/	/ˈlɪsᵊn tə ˈmjuːzɪk/	v			oir música	/ˈojɾ ˈmusika/	/ˈojɾ ˈmusika/	v			écouter de la musique		/ekute də la myzik/		v		hören		/ˈhøːrən/				escoltar						ascoltare	/askolˈtare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
andar de barco		andar de barco	andar de barco	/ɐ̃ˈdaɾ dɨ ˈbaɾku/	/ɐ̃ˈdaʁ dʒi ˈbaʁku/	v			go boating	/ˈɡoʊ ˈboʊtɪŋ/	/ˈɡəʊ ˈbəʊtɪŋ/	v			pasear en barco	/paseˈaɾ ɛm ˈbaɾko/	/paseˈaɾ ɛm ˈbaɾko/	v			faire du bateau		/fɛʁ dy bato/		v		Boot fahren		/ˈboːt ˈfaːrən/				anar en vaixell						andar en barca	/andar em ˈbarka/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
pintar		pintar	pintar	/pĩˈtaɾ/	/pĩˈtaʁ/	v			to paint	/tə ˈpʰeɪnt/	/tə ˈpʰeɪnt/	v			pintar	/pinˈtaɾ/	/pinˈtaɾ/	v			peindre		/pɛ̃ːdʁ/		v		malen		/ˈmaːlən/				pintar						dipingere	/diˈpindʒere/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
combinar com amigos ou família		combinar com amigos ou família	combinar com amigos ou família	/kõbiˈnaɾ ˈkõ ɐˈmiɡuz ˈo fɐˈmiliɐ/	/kõbiˈnaʁ ˈkõ ɐˈmiɡus ow fɐˈmiliɐ/	v			meet up with friends or family	/ˈmit ˈəp ˈwɪθ ˈfrɛndz ɔːr ˈfæmli/	/ˈmiːt ˈʌp wɪð ˈfrendz ɔː ˈfæmᵊli/	v			quedar con amigos o familia	/keˈðaɾ kon aˈmiɣos o faˈmilja/	/keˈðaɾ kon aˈmiɣos o faˈmilja/	v			retrouver des amis ou de la famille		/ʁətʁuve de‿ zami u də la famij/		v		sich mit Freunden oder Familie treffen		/ˈzɪç ˈmɪt ˈfrɔɪ̯ndən ˈoːdɐ faˈmiːli̯ə ˈtrɛfn̩/				quedar amb amics o família						incontrarsi con amici o famiglia	/inkonˈtrarsi ˈkon aˈmitʃi ˈɔ ffaˈmiʎʎa/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
tocar piano		tocar piano	tocar piano	/tuˈkaɾ piˈɐnu/	/toˈkaʁ piˈɐnu/	v			to play the piano	/tə ˈpleɪ ðə piːˈænoʊ/	/tə ˈpleɪ ðə piˈænəʊ/	v			tocar el piano	/toˈkaɾ ɛl ˈpjano/	/toˈkaɾ ɛl ˈpjano/	v			jouer du piano		/ʒwe dy pjano/		v		Klavier spielen		/klaˈviːɐ̯ ˈʃpiːlən/				tocar el piano						suonare il piano	/swoˈnare il ˈpjano/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
tirar fotografias		tirar fotografias	tirar fotografias	/tiˈɾaɾ futuɡɾɐˈfiɐʃ/	/tʃiˈɾaʁ fotoɡɾaˈfias/	v			take photos	/ˈtʰeɪk ˈfoʊtoz/	/ˈtʰeɪk ˈfəʊtəʊz/	v			tomar fotografías	/toˈmaɾ fotoɣɾaˈfias/	/toˈmaɾ fotoɣɾaˈfias/	v			prendre des photos		/pʁɑ̃dʁə de fɔto/		v		Fotos machen		/ˈfoːtos ˈmaxn̩/				fer fotos						scattare fotografie	/skatˈtare fotoɡraˈfie/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
ver televisão		ver televisão	ver televisão	/ˈveɾ tɨlɨviˈzɐ̃w̃/	/ˈveʁ televiˈzɐ̃w̃/	v			to watch TV	/tə ˈwɑtʃ ˈtʰiːˈviː/	/tə ˈwɒtʃ ˌtiːˈviː/	v			ver la televisión	/ˈbɛɾ la teleβiˈsjon/	/ˈbɛɾ la teleβiˈsjon/	v			regarder la télévision		/ʁəɡaʁde la televizjɔ̃/		v		fernsehen		/ˈfɛrnzeːən/				veure la televisió						guardare la televisione	/ɡwarˈdare la televiˈzjone/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
viajar		viajar	viajar	/viɐˈʒaɾ/	/viaˈʒaʁ/	v			to travel	/tə ˈtrævəl/	/tə ˈtrævᵊl/	v			viajar	/bjaˈxaɾ/	/bjaˈxaɾ/	v			voyager		/vwajaʒe/		v		reisen		/ˈraɪ̯zn̩/				viatjar						viaggiare	/vjadˈdʒare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
visitar museus		visitar museus	visitar museus	/viziˈtaɾ muˈzewʃ/	/viziˈtaʁ muˈzews/	v			visit museums	/ˈvɪzət mjʊˈziːəmz/	/ˈvɪzɪt mjuːˈziːəmz/	v			visitar museos	/bisiˈtaɾ muˈseos/	/bisiˈtaɾ muˈseos/	v			visiter des musées		/vizite de myze/		v		Museen besuchen		/muˈzeːən bəˈzuːxn̩/				visitar museus						visitare musei	/viziˈtare muˈzɛi̯/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities