10285	Países Baixos	os Países Baixos	/pɐˈizeʃ ˈbajʃus/	/pɐˈizis ˈbaʃus/	smp						*		Países Bajos
10286	Alemanha	a Alemanha	/ɐ.lɨ.ˈmɐ.ɲɐ/	/ɐlɛˈmɐ̃.ɲɐ/	sf						*		Alemania
10287	Equador	o Equador	/e.kwaˈdɔɾ/	/ɛ.kwaˈdoʁ/	sm						*		Ecuador
10288	Israel	Israel	/i.zɾɐˈɛl/	/i.zɾɛw/	sm						*		Israel
10289	Canadá	o Canadá	/kɐ.nɐˈdɐ/	/kɐnɐˈdɐ/	sm						*		Canadá
10290	México	o México	/ˈmeʃi.ku/	/ˈmeʃi.ku/	sm						*		México
10291	Portugal	Portugal	/puɾ.tu.ˈɣal/	/poɾtuˈɡaw/	sm						*		Portugal
10292	China	a China	/ˈʃi.nɐ/	/ˈʃĩ.nɐ/	sf						*		China
10293	Chile	o Chile	/ˈʃi.lɨ/	/ˈʃi.li/	sm						*		Chile
10294	Guiné Equatorial	a Guiné Equatorial	/ɡiˈne i.kwɐ.to.ɾiˈal/	/ɡiˈnɛ i.kwa.toɾiˈaw/	sf						*		Guinea Ecuatorial
10295	Timor-Leste	o Timor-Leste	/tiˈmoɾ ˈlɛʃ.tɨ/	/tiˈmoɾ ˈlɛstʃi/	sm						*		Timor Oriental
10296	Cabo Verde	o Cabo Verde	/ˈka.bu ˈveɾ.dɨ/	/ˈkabu ˈveɾdʒi/	sm						*		Cabo Verde
10297	Moçambique	Moçambique	/mo.ʃɐ̃ˈbi.kɨ/	/moˈsɐ̃.bi.ki/	sm						*		Mozambique
10298	Trinidad e Tobago	Trinidad e Tobago	/tɾi.niˈdɐd i tuˈba.ɡu/	/tɾi.niˈdadʒi tuˈbaɡu/	smp						*		Trinidad y Tobago
10299	Afeganistão	o Afeganistão	/ɐ.fɨ.ɡɐ̃.nis.ˈtɐ̃w̃/	/ɐfɛɡɐ̃nisˈtɐ̃w̃/	sm						*		Afganistán
10300	Andorra	Andorra	ɐ̃.ˈdo.ʁɐ/	ɐ̃ˈdoʁɐ/	sf						*		Andorra
10301	Angola	a Angola	/ɐ̃.ˈɡɔ.lɐ/	/ɐ̃ˈɡɔ.lɐ/	sf						*		Angola
10302	Brasil	o Brasil	/bɾɐ.ˈziw/	/bɾɐˈziw/	sm						*		Brasil
10303	Japão	o Japão	ʒɐ.ˈpɐ̃w̃/	ʒɐˈpɔ̃w̃/	sm						*		Japón
10304	Estados Unidos	os Estados Unidos	/iʃ.ˈta.duʃ u.niˈduʃ/	/isˈtadus u.ˈni.dus/	smp						*		Estados Unidos
10305	França	a França	/fɾɐ̃s/	/ˈfɾɐ̃.sɐ/	sf						*		Francia
10306	Honduras	as Honduras	õ.ˈdo.ɾɐʃ/	õˈdoɾɐʃ/	sm						*		Honduras
10307	Egito	o Egito	/e.ˈʒi.tu/	/eˈʒi.tu/	sm						*		Egipto
10308	Iraque	o Iraque	/i.ˈɾa.kɨ/	/iˈɾakɪ/	sm						*		Irak
10309	Camarões	os Camarões	/kɐ.mɐ.ˈɾõjʃ/	/kɐmɐˈɾõjs/	smp						*		Camerún
10310	Colômbia	a Colômbia	/ku.ˈlõ.bjɐ/	/koˈlõbiɐ/	sf						*		Colombia
10311	Marrocos	o Marrocos	/mɐ.ˈʁɔ.kuʃ/	/mɐˈʁɔ.kus/	sm						*		Marruecos
10312	São Tomé and Príncipe	São Tomé and Príncipe	/sɐ̃w̃ tuˈmɛ i ˈpɾĩ.si.pɨ/	/sɐ̃w̃ tuˈmɛ i ˈpɾĩsipi/	sm						*		Santo Tomé y Príncipe
10313	Espanha	a Espanha	/ɨʃ.ˈpa.ɲɐ/	/ɛsˈpɐ̃.ɐ/	sf						*		España
10314	Faro	em Faro	/ˈfa.ɾu/	/ˈfa.ɾʊ/							*		Faro (Portugal)
10315	Beja	em Beja	/ˈbɛ.ʒɐ/	/ˈbɛ.ʒɐ/							*		Beja (Portugal)
10316	Braga	em Braja	/ˈbɾa.ɣɐ/	/ˈbɾa.ɣɐ/							*		Braga (Portugal)
10317	Coimbra	em Coimbra	/kwĩ.ˈbɾɐ/	/kwiˈbɾɐ/							*		Coímbra (Portugal)
10318	Porto	no Porto	/ˈpoɾ.tu/	/ˈpoɾtʊ/							*		Oporto (Portugal)
10319	Funchal	no Funchal	/fũ.ˈʃaɫ/	/fũˈʃaɫ/							*		Funchal (Portugal)
10320	Rio de Janeiro	no Rio de Janeiro	/ˈʁi.u dɨ ʒɐ.nej.ɾu/	/ˈʁiw dʒi ʒɐˈnejɾʊ/							*		Río de Janeiro (Brasil)
10321	São Paulo	no São Paulo	/sɐ̃w̃ ˈpaw.lu/	/sɐ̃w̃ ˈpaw.lu/							*		São Paulo (Brasil)
10322	Bahia	na Bahia	/ba.ˈi.ɐ/	/baˈi.ɐ/							*		Bahía (Brasil)
10323	Munique	em Munique	/mu.ˈni.kɨ/	/muˈnikɪ/							*		Múnich (Alemania)
10324	Veneza	em Veneza	/vɨ.ˈne.zɐ/	/vɛˈnɛ.zɐ/							*		Venecia (Italia)
10325	Madrid	em Madrid	/mɐ.ˈdɾið/	/mɐˈdɾiʒ/							*		Madrid (España)
10326	Cidade do México	no Cidade do México	/si.ˈdadʒ du ˈmeʃi.ku/	/siˈdadʒ du ˈmɛʃiku/							*		Ciudad de México (México)
10327	Amsterdã	em Amsterdã	/ɐ̃ʃ.tɛɾ.ˈdã/	/ɐ̃s.tɛɾˈdã/							*		Ámsterdam (Países Bajos)
10328	Tóquio	em Tóquio	/ˈto.kju/	/ˈto.kju/							*		Tokio (Japón)
10329	Pequim	em Pequim	/pɨ.ˈkĩ/	/pɛˈkĩ/							*		Pekín (China)
10330	Paris	em Paris	/pa.ˈɾiʃ/	/paˈɾis/							*		París (Francia)
10331	Moscou	em Moscou	/ˈmoʃ.ku/	/ˈmosku/							*		Moscú (Rusia)
10332	London	em London	/ˈlõ.dõ/	/ˈlõdõ/							*		Londres (Reino Unido)
10333	Lisboa	em Lisboa	/liʒ.ˈbo.ɐ/	/liʒˈbo.ɐ/							*		Lisboa (Portugal)
10334	Luanda	em Luanda	/lu.ˈɐ̃.dɐ/	/luˈɐ̃dɐ/							*		Luanda (Angola)
10335	Brasília	em Brasília	/bɾɐˈzi.li.ɐ/	/bɾɐˈziljɐ/							*		Brasilia (Brasil)
10336	Praia	em Praia	/ˈpɾaj.ɐ/	/ˈpɾajɐ/							*		Praia (Cabo Verde)
10337	Malabo	em Malabo	/mɐ.ˈla.bu/	/mɐˈlabu/							*		Malabo (Guinea Ecuatorial)
10338	Bissau	em Bissau	/bi.ˈsaw/	/biˈsaw/							*		Bisáu (Guinea-Bisáu)
10339	Maputo	em Maputo	/mɐ.ˈpu.tu/	/mɐˈputʊ/							*		Maputo (Mozambique)